date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:16	623/623	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2012%20May%202016%2013:16:16%20GMT	http://egu.space/robots.txt		(from )
16:16:16	29114/29114	---M-Z	200	added ('OK')	text/html	etag:%2235ea004-71ba-52c84bd9c5e00%22	http://egu.space/	C:/My%20Web%20Sites/test/egu.space/index.html	(from )
16:16:16	932/932	---M--	200	added ('OK')	image/x-icon	etag:%2235ee048-3a4-52c0ae5305b80%22	http://egu.space/images/favicon.ico	C:/My%20Web%20Sites/test/egu.space/images/favicon.ico	(from http://egu.space/)
16:16:17	16543/16543	---M--	200	added ('OK')	image/png	etag:%2235ee03c-409f-52c0add8f3b80%22	http://egu.space/images/apple-touch-icon.png	C:/My%20Web%20Sites/test/egu.space/images/apple-touch-icon.png	(from http://egu.space/)
16:16:18	101595/101595	---M--	200	added ('OK')	text/css	etag:%2235ee014-18cdb-50aea35652780%22	http://egu.space/css/bootstrap.min.css	C:/My%20Web%20Sites/test/egu.space/css/bootstrap.min.css	(from http://egu.space/)
16:16:18	25449/25449	---M--	200	added ('OK')	text/css	etag:%2235ee011-6369-50aea35652780%22	http://egu.space/assets/elegant-icons/style.css	C:/My%20Web%20Sites/test/egu.space/assets/elegant-icons/style.css	(from http://egu.space/)
16:16:19	1289/1289	---M--	200	added ('OK')	text/css	etag:%2235ee008-509-50aea35652780%22	http://egu.space/assets/app-icons/styles.css	C:/My%20Web%20Sites/test/egu.space/assets/app-icons/styles.css	(from http://egu.space/)
16:16:20	1665/1665	---M--	200	added ('OK')	text/css	etag:%2235ee02b-681-50aea35652780%22	http://egu.space/css/owl.theme.css	C:/My%20Web%20Sites/test/egu.space/css/owl.theme.css	(from http://egu.space/)
16:16:20	1476/1476	---M--	200	added ('OK')	text/css	etag:%2235ee02a-5c4-50aea35652780%22	http://egu.space/css/owl.carousel.css	C:/My%20Web%20Sites/test/egu.space/css/owl.carousel.css	(from http://egu.space/)
16:16:20	5702/5702	---M--	200	added ('OK')	text/css	etag:%2235ee01e-1646-50aea35652780%22	http://egu.space/css/nivo-lightbox.css	C:/My%20Web%20Sites/test/egu.space/css/nivo-lightbox.css	(from http://egu.space/)
16:16:20	2909/2909	---M--	200	added ('OK')	text/css	etag:%2235ee023-b5d-50aea35652780%22	http://egu.space/css/nivo_themes/default/default.css	C:/My%20Web%20Sites/test/egu.space/css/nivo_themes/default/default.css	(from http://egu.space/)
16:16:21	17432/17432	---M--	200	added ('OK')	image/png	etag:%2235ee03b-4418-52c0addeac900%22	http://egu.space/images/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/test/egu.space/images/apple-touch-icon-72x72.png	(from http://egu.space/)
16:16:21	46574/46574	---M--	200	added ('OK')	text/css	etag:%2235ee013-b5ee-50aea35652780%22	http://egu.space/css/animate.min.css	C:/My%20Web%20Sites/test/egu.space/css/animate.min.css	(from http://egu.space/)
16:16:22	18340/18340	---M--	200	added ('OK')	image/png	etag:%2235ee03a-47a4-52c0ade094d80%22	http://egu.space/images/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/test/egu.space/images/apple-touch-icon-114x114.png	(from http://egu.space/)
16:16:22	15243/15243	---M--	200	added ('OK')	text/css	etag:%2235ee02d-3b8b-50aea35652780%22	http://egu.space/css/styles.css	C:/My%20Web%20Sites/test/egu.space/css/styles.css	(from http://egu.space/)
16:16:23	1790/1790	---M--	200	added ('OK')	text/css	etag:%2235ee016-6fe-50aea35652780%22	http://egu.space/css/colors/blue-munsell.css	C:/My%20Web%20Sites/test/egu.space/css/colors/blue-munsell.css	(from http://egu.space/)
16:16:23	4663/4663	---M--	200	added ('OK')	text/css	etag:%2235ee02c-1237-50aea35652780%22	http://egu.space/css/responsive.css	C:/My%20Web%20Sites/test/egu.space/css/responsive.css	(from http://egu.space/)
16:16:27	23395/23395	---M--	200	added ('OK')	image/png	etag:%2235ee04a-5b63-52c0a49dbf400%22	http://egu.space/images/logo.png	C:/My%20Web%20Sites/test/egu.space/images/logo.png	(from http://egu.space/)
16:16:35	92629/92629	---MC-	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202015%2018:27:31%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/test/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from http://egu.space/)
16:18:19	695224/695224	---M--	200	added ('OK')	image/png	etag:%2235ee038-a9bb8-52c0b40bddb80%22	http://egu.space/images/2-iphone-left.png	C:/My%20Web%20Sites/test/egu.space/images/2-iphone-left.png	(from http://egu.space/)
